http://www.w3.org/1999/02/22-rdf-syntax-ns#type	BIBFRAME	bibliotek-o usage
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Text	http://id.loc.gov/ontologies/bibframe/Text
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Title	http://id.loc.gov/ontologies/bibframe/Title
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/TrackConfig	http://id.loc.gov/ontologies/bibframe/TrackConfig
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Unit	http://id.loc.gov/ontologies/bibframe/Unit
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Upc	http://id.loc.gov/ontologies/bibframe/Upc
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Urn	http://id.loc.gov/ontologies/bibframe/Urn
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/UsageAndAccessPolicy	http://id.loc.gov/ontologies/bibframe/UsageAndAccessPolicy
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/UsePolicy	http://id.loc.gov/ontologies/bibframe/UsePolicy
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/VideoCharacteristic	http://id.loc.gov/ontologies/bibframe/VideoCharacteristic
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/VideoFormat	http://id.loc.gov/ontologies/bibframe/VideoFormat
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/VideoRecordingNumber	http://id.loc.gov/ontologies/bibframe/VideoRecordingNumber
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Work	http://id.loc.gov/ontologies/bibframe/Work
